model,query,track,language,ndcg5,mrr5,strict1,latency_s,top1,top1_score
bm25,and-isolation-vi,core,vi,0.5160538258158408,0.5,0.0,0.0002702999991015531,and-isolation-d0,0.10647860770454079
bm25,and-isolation-en,core,en,0.9049495058460971,1.0,1.0,0.00027409999893279746,and-isolation-d3,5.701603383384684
bm25,or-auth-vi,core,vi,0.4258585191080662,0.25,0.0,0.00023710000095888972,or-auth-d5,1.0362664036764113
bm25,or-auth-en,core,en,0.4445212398920384,0.25,0.0,0.00019769999926211312,or-auth-d0,4.765846493339128
bm25,numeric-p95-vi,core,vi,0.6403567395758113,1.0,0.0,0.00023669999791309237,numeric-p95-d0,2.452513941104248
bm25,numeric-p95-en,core,en,0.6403567395758113,1.0,0.0,0.00023689999943599105,numeric-p95-d0,3.47708345378697
bm25,numeric-units-vi,core,vi,0.19078780801730513,0.25,0.0,0.00035030000435654074,numeric-units-d2,2.702237425442705
bm25,numeric-units-en,core,en,0.7002250890704648,0.5,0.0,0.00023049999435897917,numeric-units-d1,4.935138998889979
bm25,temporal-policy-vi,core,vi,0.882808018370203,1.0,1.0,0.00023940000392030925,temporal-policy-d1,2.1406120454390547
bm25,temporal-policy-en,core,en,0.9467676761267002,1.0,1.0,0.00021149999520275742,temporal-policy-d1,5.3470359511852426
bm25,temporal-order-vi,core,vi,0.5513678991091129,0.3333333333333333,0.0,0.0002479999966453761,temporal-order-d0,1.2054269631531285
bm25,temporal-order-en,core,en,0.9879538239787087,1.0,1.0,0.00020500000391621143,temporal-order-d5,5.280270358107086
bm25,causal-random-vi,core,vi,0.7332063582049065,1.0,0.0,0.00022530000569531694,causal-random-d4,0.7955555476908105
bm25,causal-random-en,core,en,0.6489436297638531,0.5,0.0,0.00023289999808184803,causal-random-d5,4.005034799566096
bm25,causal-incident-vi,core,vi,0.20472719811083948,0.25,0.0,0.00024539999867556617,causal-incident-d0,1.8235163081139492
bm25,causal-incident-en,core,en,0.5636640860885236,0.5,0.0,0.00021879999985685572,causal-incident-d5,3.8304163654143464
bm25,multihop-region-vi,core,vi,0.7984848580994974,1.0,1.0,0.00023610000062035397,multihop-region-d4,1.4781348534114944
bm25,multihop-region-en,core,en,0.5937604413238652,0.5,0.0,0.00021209999977145344,multihop-region-d0,5.37512008143933
bm25,multihop-permission-vi,core,vi,0.8124242481930318,1.0,1.0,0.0002215000058640726,multihop-permission-d2,2.6861019431506334
bm25,multihop-permission-en,core,en,0.47909091485969846,0.3333333333333333,0.0,0.00020130000484641641,multihop-permission-d3,3.749634692215351
bm25,code-boundary-vi,core,vi,0.47909091485969846,0.3333333333333333,0.0,0.00021729999571107328,code-boundary-d5,1.5633876007138712
bm25,code-boundary-en,core,en,0.5766666455144387,0.5,0.0,0.00019880000036209822,code-boundary-d5,1.5633876007138712
bm25,code-idempotent-vi,core,vi,0.3415353588373607,0.2,0.0,0.00026359999901615083,code-idempotent-d2,1.8550473903436233
bm25,code-idempotent-en,core,en,0.36214894418802107,0.25,0.0,0.0002375999974901788,code-idempotent-d2,5.180936244131848
bm25,entity-owner-vi,core,vi,0.4138124149651075,0.3333333333333333,0.0,0.0002032999982475303,entity-owner-d3,2.1112620725271602
bm25,entity-owner-en,core,en,0.9467676761267002,1.0,1.0,0.00019029999384656549,entity-owner-d5,2.865953171610573
bm25,entity-version-vi,core,vi,0.5937604413238652,0.5,0.0,0.00019109999993816018,entity-version-d0,2.779969729327595
bm25,entity-version-en,core,en,0.5937604413238652,0.5,0.0,0.00016630000027362257,entity-version-d0,2.779969729327595
bm25,crosslingual-delete-vi,core,vi,0.24736696994850418,0.5,0.0,0.00028049999673385173,crosslingual-delete-d0,10.934065670101269
bm25,crosslingual-delete-en,core,en,0.5234343216411389,0.5,0.0,0.0002375999974901788,crosslingual-delete-d1,4.833177551128832
bm25,crosslingual-retry-vi,core,vi,0.6298989693877386,0.5,0.0,0.0002345000029890798,crosslingual-retry-d1,6.047176421637005
bm25,crosslingual-retry-en,core,en,0.24270128975251115,0.5,0.0,0.00021879999985685572,crosslingual-retry-d4,4.666727072231403
bm25,injection-cache-vi,core,vi,0.6077574819118444,0.5,0.0,0.00025949999690055847,injection-cache-d3,1.0407495302425485
bm25,injection-cache-en,core,en,0.882808018370203,1.0,1.0,0.00023099999816622585,injection-cache-d0,8.265790404624653
bm25,injection-audit-vi,core,vi,0.2661616193664992,0.3333333333333333,0.0,0.00025740000273799524,injection-audit-d3,0.09748636336922585
bm25,injection-audit-en,core,en,0.5218459158079205,0.3333333333333333,0.0,0.0002190000013797544,injection-audit-d4,3.613803875193243
bm25,evidence-measured-vi,core,vi,0.5773534652239384,0.3333333333333333,0.0,0.0002494999935152009,evidence-measured-d5,1.532889724670024
bm25,evidence-measured-en,core,en,0.5323231668546659,0.25,0.0,0.00019220000103814527,evidence-measured-d3,3.2209593003035613
bm25,evidence-quantifier-vi,core,vi,0.6153275568656099,0.5,0.0,0.00025350000214530155,evidence-quantifier-d3,2.383609609518765
bm25,evidence-quantifier-en,core,en,0.6403567395758113,1.0,0.0,0.00020640000002458692,evidence-quantifier-d4,6.730150760348193
bm25,long-tail-vi,long_context,vi,0.9360403422435027,1.0,1.0,0.0012281000017537735,long-tail-d5,0.5709278866352592
bm25,long-tail-en,long_context,en,0.6489436297638531,0.5,0.0,0.0010823999982676469,long-tail-d1,7.543949642896896
bm25,long-middle-vi,long_context,vi,0.19073015752286024,0.2,0.0,0.0010602000038488768,long-middle-d3,1.1907694246031295
bm25,long-middle-en,long_context,en,0.4961847106691249,0.3333333333333333,0.0,0.0010821000032592565,long-middle-d3,8.196112326555193
bm25,ood-cryobot-vi,unanswerable,vi,,,,0.00024590000248281285,ood-cryobot-d2,0.0
bm25,ood-cryobot-en,unanswerable,en,,,,0.00019720000273082405,ood-cryobot-d2,1.3846696997277743
bm25,ood-guarantee-vi,unanswerable,vi,,,,0.00023209999926621094,ood-guarantee-d0,2.711183272066982
bm25,ood-guarantee-en,unanswerable,en,,,,0.0002049999966402538,ood-guarantee-d0,5.422366544133964
bm25,ood-private-vi,unanswerable,vi,,,,0.00026420000358484685,ood-private-d3,2.7693393994555486
bm25,ood-private-en,unanswerable,en,,,,0.00020760000188602135,ood-private-d3,4.154009099183323
bm25,ood-missing-vi,unanswerable,vi,,,,0.00027520000003278255,ood-missing-d2,2.7693393994555486
bm25,ood-missing-en,unanswerable,en,,,,0.00021230000129435211,ood-missing-d2,5.296284581428758
